method,seed,task_idx,support_size,count
AMSC-shuffled,86,1,1,100
AMSC-shuffled,86,2,1,100
AMSC-shuffled,86,3,1,100
AMSC-shuffled,86,4,1,100
AMSC-shuffled,86,5,1,100
AMSC-shuffled,86,6,1,100
AMSC-shuffled,86,7,1,100
AMSC-shuffled,86,8,2,100
AMSC-shuffled,86,9,1,10
AMSC-shuffled,86,9,2,90
AMSC-shuffled,86,10,2,100
AMSC-shuffled,86,11,2,100
AMSC-shuffled,86,12,3,100
AMSC-shuffled,86,13,2,100
AMSC-shuffled,86,14,2,98
AMSC-shuffled,86,14,3,2
AMSC-shuffled,86,15,2,84
AMSC-shuffled,86,15,3,16
AMSC-shuffled,86,16,4,100
AMSC-shuffled,86,17,3,100
AMSC-shuffled,86,18,2,100
AMSC-shuffled,86,19,3,100
AMSC-shuffled,86,20,1,11
AMSC-shuffled,86,20,2,35
AMSC-shuffled,86,20,3,2
AMSC-shuffled,86,20,4,51
AMSC-shuffled,86,20,5,1
AMSC-shuffled,86,21,4,100
AMSC-shuffled,86,22,3,100
AMSC-shuffled,86,23,4,100
AMSC-shuffled,86,24,2,53
AMSC-shuffled,86,24,3,8
AMSC-shuffled,86,24,4,5
AMSC-shuffled,86,24,5,27
AMSC-shuffled,86,24,6,7
AMSC-shuffled,86,25,4,3
AMSC-shuffled,86,25,5,97
AMSC-shuffled,86,26,4,100
AMSC-shuffled,86,27,5,100
AMSC-shuffled,87,1,1,100
AMSC-shuffled,87,2,1,99
AMSC-shuffled,87,2,2,1
AMSC-shuffled,87,3,1,100
AMSC-shuffled,87,4,1,100
AMSC-shuffled,87,5,1,100
AMSC-shuffled,87,6,1,100
AMSC-shuffled,87,7,1,100
AMSC-shuffled,87,8,2,100
AMSC-shuffled,87,9,2,100
AMSC-shuffled,87,10,2,100
AMSC-shuffled,87,11,2,100
AMSC-shuffled,87,12,3,100
AMSC-shuffled,87,13,3,100
AMSC-shuffled,87,14,2,26
AMSC-shuffled,87,14,3,74
AMSC-shuffled,87,15,3,100
AMSC-shuffled,87,16,2,10
AMSC-shuffled,87,16,3,50
AMSC-shuffled,87,16,4,40
AMSC-shuffled,87,17,1,42
AMSC-shuffled,87,17,2,16
AMSC-shuffled,87,17,3,36
AMSC-shuffled,87,17,4,6
AMSC-shuffled,87,18,4,100
AMSC-shuffled,87,19,2,93
AMSC-shuffled,87,19,3,6
AMSC-shuffled,87,19,4,1
AMSC-shuffled,87,20,2,64
AMSC-shuffled,87,20,3,11
AMSC-shuffled,87,20,4,12
AMSC-shuffled,87,20,5,13
AMSC-shuffled,87,21,2,99
AMSC-shuffled,87,21,3,1
AMSC-shuffled,87,22,1,90
AMSC-shuffled,87,22,2,10
AMSC-shuffled,87,23,3,100
AMSC-shuffled,87,24,2,10
AMSC-shuffled,87,24,3,55
AMSC-shuffled,87,24,4,12
AMSC-shuffled,87,24,5,23
AMSC-shuffled,87,25,3,100
AMSC-shuffled,87,26,2,99
AMSC-shuffled,87,26,3,1
AMSC-shuffled,87,27,4,100
AMSC-shuffled,88,1,1,100
AMSC-shuffled,88,2,1,100
AMSC-shuffled,88,3,1,100
AMSC-shuffled,88,4,1,100
AMSC-shuffled,88,5,1,100
AMSC-shuffled,88,6,1,100
AMSC-shuffled,88,7,1,100
AMSC-shuffled,88,8,2,100
AMSC-shuffled,88,9,2,100
AMSC-shuffled,88,10,2,100
AMSC-shuffled,88,11,2,100
AMSC-shuffled,88,12,3,100
AMSC-shuffled,88,13,2,3
AMSC-shuffled,88,13,3,97
AMSC-shuffled,88,14,2,29
AMSC-shuffled,88,14,3,71
AMSC-shuffled,88,15,3,100
AMSC-shuffled,88,16,1,6
AMSC-shuffled,88,16,2,7
AMSC-shuffled,88,16,3,9
AMSC-shuffled,88,16,4,78
AMSC-shuffled,88,17,4,100
AMSC-shuffled,88,18,2,99
AMSC-shuffled,88,18,3,1
AMSC-shuffled,88,19,2,52
AMSC-shuffled,88,19,3,48
AMSC-shuffled,88,20,2,68
AMSC-shuffled,88,20,3,25
AMSC-shuffled,88,20,4,7
AMSC-shuffled,88,21,1,59
AMSC-shuffled,88,21,2,5
